"ID",NAME,TRADEDATE,OPEN,HIGH,LOW,CLOSE,VALUE,DURATION,YIELD
RTSI,Индекс РТС,2006-01-27,1338.63,1373.22,1338.63,1373.22,90351837,,
RTSI,Индекс РТС,2006-01-30,1374,1376.43,1331.59,1332.27,72533035,,
RTSI,Индекс РТС,2006-01-31,1334.04,1346.46,1314.75,1315.96,52659400,,
RTSI,Индекс РТС,2006-02-01,1316.01,1340.02,1308.95,1339.57,39225780,,
RTSI,Индекс РТС,2006-02-02,1339.79,1342.18,1333.35,1334.85,23277363,,
RTSI,Индекс РТС,2006-02-03,1334.13,1334.13,1307.88,1308.13,35727727,,
RTSI,Индекс РТС,2006-02-06,1308.45,1332.44,1308.45,1325.27,40871892,,
RTSI,Индекс РТС,2006-02-07,1325.48,1335.01,1322.96,1330.64,22753437,,
RTSI,Индекс РТС,2006-02-08,1330.16,1335.4,1312.06,1335.19,47850020,,
RTSI,Индекс РТС,2006-02-09,1336.46,1367.47,1336.46,1366.37,60142067,,
RTSI,Индекс РТС,2006-02-10,1367.08,1370.06,1360.36,1365.26,41321124,,
RTSI,Индекс РТС,2006-02-13,1363.65,1369.72,1357.52,1365.24,37540340,,
RTSI,Индекс РТС,2006-02-14,1365.11,1383.22,1362.37,1367.91,47057120,,
RTSI,Индекс РТС,2006-02-15,1368.92,1375.1,1355.16,1375.1,69701233,,
RTSI,Индекс РТС,2006-02-16,1373.92,1386.7,1366.7,1381.59,61792528,,
RTSI,Индекс РТС,2006-02-17,1382.49,1428.15,1382.49,1428.14,42042723,,
RTSI,Индекс РТС,2006-02-20,1430.87,1459.48,1430.87,1459.48,33660507,,
RTSI,Индекс РТС,2006-02-21,1459.93,1464,1444.35,1444.35,32528579,,
RTSI,Индекс РТС,2006-02-22,1444.38,1466.42,1442.94,1465.62,42680921,,
RTSI,Индекс РТС,2006-02-26,1465.62,1516.66,1465.62,1516.46,59002748,,
RTSI,Индекс РТС,2006-02-27,1516.59,1531.27,1496.78,1516.99,70039876,,
RTSI,Индекс РТС,2006-02-28,1515.1,1515.1,1451.52,1453.44,78832783,,
RTSI,Индекс РТС,2006-03-01,1453.7,1465.69,1434.82,1450.82,75699020,,
RTSI,Индекс РТС,2006-03-02,1452.95,1470.82,1452.95,1466.87,36360191,,
RTSI,Индекс РТС,2006-03-03,1467,1497.17,1467,1487.11,78697915,,
RTSI,Индекс РТС,2006-03-06,1487.21,1497.52,1479.63,1480.9,39034614,,
RTSI,Индекс РТС,2006-03-07,1476.68,1476.68,1396.48,1396.48,75256658,,
RTSI,Индекс РТС,2006-03-09,1393.27,1393.27,1350.15,1361.28,86454462,,
RTSI,Индекс РТС,2006-03-10,1361.4,1365.79,1341.59,1351.26,32789776,,
RTSI,Индекс РТС,2006-03-13,1353.63,1391.8,1352.51,1384.58,63657210,,
RTSI,Индекс РТС,2006-03-14,1384.85,1405.04,1348.16,1360.33,76726706,,
RTSI,Индекс РТС,2006-03-15,1363.93,1377.38,1359.91,1377.33,119247982,,
RTSI,Индекс РТС,2006-03-16,1376.84,1383.92,1371.98,1381.7,134786919,,
RTSI,Индекс РТС,2006-03-17,1381.38,1420.1,1381.38,1414.92,129679689,,
RTSI,Индекс РТС,2006-03-20,1415.71,1425.85,1406.14,1408.52,70591110,,
RTSI,Индекс РТС,2006-03-21,1408.12,1408.12,1394.58,1395.24,81851731,,
RTSI,Индекс РТС,2006-03-22,1394.88,1408.81,1391.39,1408.81,50770099,,
RTSI,Индекс РТС,2006-03-23,1408.96,1430.48,1408.96,1430.18,65240706,,
RTSI,Индекс РТС,2006-03-24,1429.17,1429.59,1407.78,1420.25,47191796,,
RTSI,Индекс РТС,2006-03-27,1420.7,1436.57,1420.7,1428.69,66681310,,
RTSI,Индекс РТС,2006-03-28,1428.08,1428.75,1413.8,1414.7,82947173,,
RTSI,Индекс РТС,2006-03-29,1414.58,1414.58,1390.24,1391.31,38731120,,
RTSI,Индекс РТС,2006-03-30,1393.32,1431.22,1393.32,1431.22,46795952,,
RTSI,Индекс РТС,2006-03-31,1431.08,1442.91,1431.04,1434.99,65295792,,
